date,stock_id,buy,name,sell
2024-10-23,2883,0,Foreign_Dealer_Self,0
2024-10-23,2883,180000,Investment_Trust,53837
2024-10-23,2883,113000,Dealer_self,1389000
2024-10-23,2883,59000,Dealer_Hedging,284000
2024-10-24,2883,9887708,Foreign_Investor,13449710
2024-10-24,2883,0,Foreign_Dealer_Self,0
2024-10-24,2883,997000,Investment_Trust,7767
2024-10-24,2883,20000,Dealer_self,1115000
2024-10-24,2883,167000,Dealer_Hedging,142000
2024-10-25,2883,6580213,Foreign_Investor,10330000
2024-10-25,2883,0,Foreign_Dealer_Self,0
2024-10-25,2883,216000,Investment_Trust,5767
2024-10-25,2883,4000,Dealer_self,54000
2024-10-25,2883,195000,Dealer_Hedging,350244
2024-10-28,2883,7580700,Foreign_Investor,17214494
2024-10-28,2883,0,Foreign_Dealer_Self,0
2024-10-28,2883,631000,Investment_Trust,52826
2024-10-28,2883,357000,Dealer_self,16572
2024-10-28,2883,23000,Dealer_Hedging,263000
2024-10-29,2883,12924806,Foreign_Investor,25710084
2024-10-29,2883,0,Foreign_Dealer_Self,0
2024-10-29,2883,183000,Dealer_self,700771
2024-10-29,2883,90000,Dealer_Hedging,367914
2024-10-29,2883,1530000,Investment_Trust,14705
2024-10-30,2883,0,Foreign_Dealer_Self,0
2024-10-30,2883,743000,Investment_Trust,5705
2024-10-30,2883,132000,Dealer_self,46000
2024-10-30,2883,103000,Dealer_Hedging,129000
2024-10-30,2883,17131667,Foreign_Investor,14135994
2024-11-01,2883,22422000,Foreign_Investor,29465996
2024-11-01,2883,0,Foreign_Dealer_Self,0
2024-11-01,2883,1485000,Investment_Trust,1000
2024-11-01,2883,516000,Dealer_self,722996
2024-11-01,2883,701000,Dealer_Hedging,58000
2024-11-04,2883,19308040,Foreign_Investor,10046345
2024-11-04,2883,0,Foreign_Dealer_Self,0
2024-11-04,2883,4829000,Investment_Trust,0
2024-11-04,2883,50000,Dealer_self,38000
2024-11-04,2883,551000,Dealer_Hedging,313000
2024-11-05,2883,17011064,Foreign_Investor,9939042
2024-11-05,2883,0,Foreign_Dealer_Self,0
2024-11-05,2883,255000,Investment_Trust,0
2024-11-05,2883,191000,Dealer_self,34000
2024-11-05,2883,79000,Dealer_Hedging,718000
2024-11-06,2883,10859145,Foreign_Investor,14652527
2024-11-06,2883,0,Foreign_Dealer_Self,0
2024-11-06,2883,606000,Investment_Trust,0
2024-11-06,2883,55000,Dealer_self,6000
2024-11-06,2883,1000,Dealer_Hedging,203000
2024-11-07,2883,22998000,Foreign_Investor,9575004
2024-11-07,2883,0,Foreign_Dealer_Self,0
2024-11-07,2883,836000,Investment_Trust,0
2024-11-07,2883,283000,Dealer_self,115000
2024-11-07,2883,311411,Dealer_Hedging,189000
2024-11-08,2883,18830371,Foreign_Investor,13476142
2024-11-08,2883,0,Foreign_Dealer_Self,0
2024-11-08,2883,159000,Investment_Trust,0
2024-11-08,2883,69000,Dealer_self,84000
2024-11-08,2883,495000,Dealer_Hedging,572000
2024-11-11,2883,52009256,Foreign_Investor,15415672
2024-11-11,2883,0,Foreign_Dealer_Self,0
2024-11-11,2883,1190000,Investment_Trust,0
2024-11-11,2883,137224,Dealer_self,109000
2024-11-11,2883,1093210,Dealer_Hedging,174000
2024-11-12,2883,10611300,Foreign_Investor,43499390
2024-11-12,2883,0,Foreign_Dealer_Self,0
2024-11-12,2883,1543000,Investment_Trust,0
2024-11-12,2883,738000,Dealer_self,867610
2024-11-12,2883,556000,Dealer_Hedging,1069000
2024-11-13,2883,10220375,Foreign_Investor,27502000
2024-11-13,2883,0,Foreign_Dealer_Self,0
2024-11-13,2883,1541000,Investment_Trust,69911
2024-11-13,2883,369000,Dealer_self,914000
2024-11-13,2883,574000,Dealer_Hedging,554996
2024-11-14,2883,13186000,Foreign_Investor,21975000
2024-11-14,2883,0,Foreign_Dealer_Self,0
2024-11-14,2883,1247000,Investment_Trust,2000
2024-11-14,2883,367000,Dealer_self,1099010
2024-11-14,2883,740000,Dealer_Hedging,254000
2024-11-15,2883,22316928,Foreign_Investor,13496553
2024-11-15,2883,0,Foreign_Dealer_Self,0
2024-11-15,2883,21000,Investment_Trust,361000
2024-11-15,2883,176000,Dealer_self,130000
2024-11-15,2883,1665000,Dealer_Hedging,202000
2024-11-18,2883,7517000,Foreign_Investor,16509367
2024-11-18,2883,0,Foreign_Dealer_Self,0
2024-11-18,2883,1476000,Investment_Trust,0
2024-11-18,2883,537000,Dealer_self,62000
2024-11-18,2883,480000,Dealer_Hedging,578000
2024-11-19,2883,13052057,Foreign_Investor,22502364
2024-11-19,2883,0,Foreign_Dealer_Self,0
2024-11-19,2883,747000,Investment_Trust,91000
2024-11-19,2883,500000,Dealer_self,45365
2024-11-19,2883,711000,Dealer_Hedging,243000
2024-11-20,2883,13342000,Foreign_Investor,11748426
2024-11-20,2883,0,Foreign_Dealer_Self,0
2024-11-20,2883,557000,Investment_Trust,0
2024-11-20,2883,1057000,Dealer_self,179999
2024-11-20,2883,1479000,Dealer_Hedging,241000
2024-11-21,2883,5914001,Foreign_Investor,11160188
2024-11-21,2883,0,Foreign_Dealer_Self,0
2024-11-21,2883,994000,Investment_Trust,233000
2024-11-21,2883,155000,Dealer_self,27000
2024-11-21,2883,515000,Dealer_Hedging,249000
2024-11-22,2883,4725000,Foreign_Investor,9566100
2024-11-22,2883,0,Foreign_Dealer_Self,0
2024-11-22,2883,715000,Investment_Trust,25000
2024-11-22,2883,328000,Dealer_self,0
2024-11-22,2883,801000,Dealer_Hedging,282000
2024-11-25,2883,48513967,Foreign_Investor,24660549
2024-11-25,2883,0,Foreign_Dealer_Self,0
2024-11-25,2883,612000,Investment_Trust,101159
2024-11-25,2883,476000,Dealer_self,6000
2024-11-25,2883,1650352,Dealer_Hedging,3367000
2024-11-26,2883,8743000,Foreign_Investor,7968390
2024-11-26,2883,0,Foreign_Dealer_Self,0
2024-11-26,2883,579000,Investment_Trust,0
2024-11-26,2883,10000,Dealer_self,613000
2024-11-26,2883,469000,Dealer_Hedging,831000
2024-11-27,2883,5759000,Foreign_Investor,11792771
2024-11-27,2883,0,Foreign_Dealer_Self,0
2024-11-27,2883,1743000,Investment_Trust,24000
2024-11-27,2883,34000,Dealer_self,234000
2024-11-27,2883,799000,Dealer_Hedging,358000
2024-11-28,2883,9032150,Foreign_Investor,11633240
2024-11-28,2883,0,Foreign_Dealer_Self,0
2024-11-28,2883,2601000,Investment_Trust,1000
2024-11-28,2883,1202000,Dealer_self,647000
2024-11-28,2883,682000,Dealer_Hedging,452000
2024-11-29,2883,21502488,Foreign_Investor,23551897
2024-11-29,2883,0,Foreign_Dealer_Self,0
2024-11-29,2883,2855000,Investment_Trust,12000
2024-11-29,2883,428000,Dealer_self,526000
2024-11-29,2883,1331000,Dealer_Hedging,216000
2024-12-02,2883,36835000,Foreign_Investor,12720064
2024-12-02,2883,0,Foreign_Dealer_Self,0
2024-12-02,2883,320000,Dealer_self,46000
2024-12-02,2883,1260000,Dealer_Hedging,2767000
2024-12-02,2883,7409000,Investment_Trust,1401000
2024-12-03,2883,55143605,Foreign_Investor,10075000
2024-12-03,2883,0,Foreign_Dealer_Self,0
2024-12-03,2883,10569000,Investment_Trust,35000
2024-12-03,2883,151000,Dealer_self,36000
2024-12-03,2883,955000,Dealer_Hedging,581000
2024-12-04,2883,25250220,Foreign_Investor,17467516
2024-12-04,2883,0,Foreign_Dealer_Self,0
2024-12-04,2883,497000,Dealer_self,0
2024-12-04,2883,920000,Dealer_Hedging,1322000
2024-12-04,2883,5803000,Investment_Trust,1416000
2024-12-05,2883,22765000,Foreign_Investor,11478102
2024-12-05,2883,0,Foreign_Dealer_Self,0
2024-12-05,2883,2336000,Investment_Trust,143000
2024-12-05,2883,10000,Dealer_self,26000
2024-12-05,2883,211000,Dealer_Hedging,602000
2024-12-06,2883,17178465,Foreign_Investor,7613167
2024-12-06,2883,0,Foreign_Dealer_Self,0
2024-12-06,2883,3733000,Investment_Trust,0
2024-12-06,2883,2000,Dealer_self,8000
2024-12-06,2883,190000,Dealer_Hedging,158000
2024-12-09,2883,15918724,Foreign_Investor,20618000
